seller_id,month,quarter,amount,productive_fte,source_kind,scenario_id
S001,2026-01,2026-Q1,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-02,2026-Q1,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-03,2026-Q1,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-04,2026-Q2,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-05,2026-Q2,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-06,2026-Q2,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-07,2026-Q3,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-08,2026-Q3,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-09,2026-Q3,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-10,2026-Q4,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-11,2026-Q4,38000,1,synthetic,planning-v2-seed-20260920
S001,2026-12,2026-Q4,38000,1,synthetic,planning-v2-seed-20260920
S002,2026-01,2026-Q1,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-02,2026-Q1,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-03,2026-Q1,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-04,2026-Q2,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-05,2026-Q2,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-06,2026-Q2,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-07,2026-Q3,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-08,2026-Q3,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-09,2026-Q3,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-10,2026-Q4,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-11,2026-Q4,44000,1,synthetic,planning-v2-seed-20260920
S002,2026-12,2026-Q4,44000,1,synthetic,planning-v2-seed-20260920
S003,2026-01,2026-Q1,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-02,2026-Q1,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-03,2026-Q1,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-04,2026-Q2,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-05,2026-Q2,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-06,2026-Q2,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-07,2026-Q3,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-08,2026-Q3,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-09,2026-Q3,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-10,2026-Q4,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-11,2026-Q4,50000,1,synthetic,planning-v2-seed-20260920
S003,2026-12,2026-Q4,50000,1,synthetic,planning-v2-seed-20260920
S004,2026-01,2026-Q1,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-02,2026-Q1,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-03,2026-Q1,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-04,2026-Q2,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-05,2026-Q2,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-06,2026-Q2,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-07,2026-Q3,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-08,2026-Q3,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-09,2026-Q3,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-10,2026-Q4,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-11,2026-Q4,56000,1,synthetic,planning-v2-seed-20260920
S004,2026-12,2026-Q4,56000,1,synthetic,planning-v2-seed-20260920
S005,2026-01,2026-Q1,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-02,2026-Q1,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-03,2026-Q1,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-04,2026-Q2,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-05,2026-Q2,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-06,2026-Q2,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-07,2026-Q3,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-08,2026-Q3,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-09,2026-Q3,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-10,2026-Q4,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-11,2026-Q4,32000,1,synthetic,planning-v2-seed-20260920
S005,2026-12,2026-Q4,32000,1,synthetic,planning-v2-seed-20260920
S006,2026-01,2026-Q1,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-02,2026-Q1,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-03,2026-Q1,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-04,2026-Q2,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-05,2026-Q2,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-06,2026-Q2,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-07,2026-Q3,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-08,2026-Q3,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-09,2026-Q3,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-10,2026-Q4,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-11,2026-Q4,38000,1,synthetic,planning-v2-seed-20260920
S006,2026-12,2026-Q4,38000,1,synthetic,planning-v2-seed-20260920
S007,2026-01,2026-Q1,44000,1,synthetic,planning-v2-seed-20260920
S007,2026-02,2026-Q1,44000,1,synthetic,planning-v2-seed-20260920
S007,2026-03,2026-Q1,44000,1,synthetic,planning-v2-seed-20260920
S007,2026-04,2026-Q2,44000,1,synthetic,planning-v2-seed-20260920
S007,2026-05,2026-Q2,44000,1,synthetic,planning-v2-seed-20260920
S007,2026-06,2026-Q2,44000,1,synthetic,planning-v2-seed-20260920
S007,2026-07,2026-Q3,44000,1,synthetic,planning-v2-seed-20260920
